N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	4	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	802
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	4	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
0	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
1	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
2	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
3	6,25	6,00000240000096E-05	0	25	45	6000	0	0	801
4	6,25	6,00000240000096E-05	0	25	45	6000	0	0	800
