N	MZI_f_MHz	SYNC_f_MHz	MZI_D_ns	MZI_W_ns	DET_D_ns	DET_W_ns	State	D0	D1
1	1	6,00000240000096E-05	30	15	8700002,5	5000000	0	16	666666
2	1	6,00000240000096E-05	30	15	8700002,5	5000000	0	62	666666
3	1	6,00000240000096E-05	30	15	8700002,5	5000000	0	18	666668
4	1	6,00000240000096E-05	30	15	8700002,5	5000000	0	36	666667
0	1	6,00000240000096E-05	30	15	8700005	5000000	0	102	666667
1	1	6,00000240000096E-05	30	15	8700005	5000000	0	100	666667
2	1	6,00000240000096E-05	30	15	8700005	5000000	0	18	666666
3	1	6,00000240000096E-05	30	15	8700005	5000000	0	14	666666
4	1	6,00000240000096E-05	30	15	8700005	5000000	0	38	666668
0	1	6,00000240000096E-05	30	15	8700005	5000000	0	24	666667
1	1	6,00000240000096E-05	30	15	8700005	5000000	0	42	666667
2	1	6,00000240000096E-05	30	15	8700005	5000000	0	86	666666
3	1	6,00000240000096E-05	30	15	8700005	5000000	0	28	666667
4	1	6,00000240000096E-05	30	15	8700005	5000000	0	10	666668
0	1	6,00000240000096E-05	30	15	8700005	5000000	0	28	666668
1	1	6,00000240000096E-05	30	15	8700005	5000000	0	102	666667
2	1	6,00000240000096E-05	30	15	8700005	5000000	0	12	666667
3	1	6,00000240000096E-05	30	15	8700005	5000000	0	38	666666
4	1	6,00000240000096E-05	30	15	8700005	5000000	0	44	666667
0	1	6,00000240000096E-05	30	15	8700005	5000000	0	10	666667
1	1	6,00000240000096E-05	30	15	8700005	5000000	0	18	666667
2	1	6,00000240000096E-05	30	15	8700005	5000000	0	20	666667
3	1	6,00000240000096E-05	30	15	8700005	5000000	0	48	666666
4	1	6,00000240000096E-05	30	15	8700005	5000000	0	14	666667
0	1	6,00000240000096E-05	30	15	8700005	5000000	0	36	666668
1	1	6,00000240000096E-05	30	15	8700005	5000000	0	108	666668
2	1	6,00000240000096E-05	30	15	8700005	5000000	0	10	666666
3	1	6,00000240000096E-05	30	15	8700005	5000000	0	70	666667
4	1	6,00000240000096E-05	30	15	8700005	5000000	0	54	666668
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	6	666667
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	32	666667
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	72	666667
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	20	666667
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	54	666667
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	38	666668
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	72	666667
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	18	666668
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	46	666666
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	52	666666
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	78	666668
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	4	666667
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	16	666667
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	34	666667
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	20	666667
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	36	666666
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	22	666667
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	10	666667
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	66	666668
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	26	666667
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	30	666667
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	78	666667
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	58	666668
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	72	666666
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	24	666666
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	58	666666
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	30	666666
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	20	666666
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	6	666668
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	40	666666
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	10	666668
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	36	666667
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	10	666667
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	60	666666
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	16	666667
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	12	666667
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	48	666668
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	20	666668
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	86	666666
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	58	666666
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	18	666667
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	52	666667
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	14	666667
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	28	666668
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	52	666666
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	16	666666
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	54	666667
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	28	666667
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	42	666667
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	8	666668
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	68	666667
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	10	666666
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	30	666666
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	16	666667
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	20	666667
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	10	666668
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	34	666666
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	12	666667
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	16	666668
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	10	666668
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	52	666668
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	62	666668
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	0	666667
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	16	666666
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	6	666666
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	22	666667
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	42	666667
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	40	666666
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	56	666667
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	40	666668
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	10	666667
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	84	666668
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	48	666668
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	18	666666
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	80	666666
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	80	666666
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	18	666666
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	54	666666
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	120	666667
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	12	666668
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	64	666667
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	18	666666
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	54	666666
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	56	666666
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	6	666666
0	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	52	666666
1	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	0	666666
2	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	40	666666
3	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	142	666666
4	1	6,00000240000096E-05	30	15	8700007,5	5000000	0	86	666666
0	1	6,00000240000096E-05	30	15	8700010	5000000	0	12	666666
1	1	6,00000240000096E-05	30	15	8700010	5000000	0	36	666666
2	1	6,00000240000096E-05	30	15	8700010	5000000	0	30	666666
3	1	6,00000240000096E-05	30	15	8700010	5000000	0	158	666666
4	1	6,00000240000096E-05	30	15	8700010	5000000	0	94	666666
0	1	6,00000240000096E-05	30	15	8700010	5000000	0	98	666668
1	1	6,00000240000096E-05	30	15	8700010	5000000	0	36	666668
2	1	6,00000240000096E-05	30	15	8700010	5000000	0	46	666667
3	1	6,00000240000096E-05	30	15	8700010	5000000	0	28	666667
4	1	6,00000240000096E-05	30	15	8700010	5000000	0	22	666668
0	1	6,00000240000096E-05	30	15	8700010	5000000	0	24	666667
1	1	6,00000240000096E-05	30	15	8700010	5000000	0	16	666668
2	1	6,00000240000096E-05	30	15	8700010	5000000	0	6	666666
3	1	6,00000240000096E-05	30	15	8700010	5000000	0	54	666667
4	1	6,00000240000096E-05	30	15	8700010	5000000	0	64	666668
0	1	6,00000240000096E-05	30	15	8700010	5000000	0	18	666667
1	1	6,00000240000096E-05	30	15	8700010	5000000	0	28	666666
2	1	6,00000240000096E-05	30	15	8700010	5000000	0	70	666666
3	1	6,00000240000096E-05	30	15	8700010	5000000	0	50	666666
4	1	6,00000240000096E-05	30	15	8700010	5000000	0	28	666668
0	1	6,00000240000096E-05	30	15	8700010	5000000	0	4	666667
1	1	6,00000240000096E-05	30	15	8700010	5000000	0	28	666667
2	1	6,00000240000096E-05	30	15	8700010	5000000	0	4	666668
3	1	6,00000240000096E-05	30	15	8700010	5000000	0	6	666667
4	1	6,00000240000096E-05	30	15	8700010	5000000	0	48	666668
0	1	6,00000240000096E-05	30	15	8700010	5000000	0	14	666666
1	1	6,00000240000096E-05	30	15	8700010	5000000	0	40	666666
2	1	6,00000240000096E-05	30	15	8700010	5000000	0	58	666666
3	1	6,00000240000096E-05	30	15	8700010	5000000	0	22	666667
4	1	6,00000240000096E-05	30	15	8700010	5000000	0	28	666667
0	1	6,00000240000096E-05	30	15	8700010	5000000	0	44	666668
1	1	6,00000240000096E-05	30	15	8700010	5000000	0	28	666668
2	1	6,00000240000096E-05	30	15	8700010	5000000	0	76	666667
3	1	6,00000240000096E-05	30	15	8700010	5000000	0	58	666667
4	1	6,00000240000096E-05	30	15	8700010	5000000	0	98	666667
0	1	6,00000240000096E-05	30	15	8700010	5000000	0	22	666667
1	1	6,00000240000096E-05	30	15	8700010	5000000	0	14	666666
2	1	6,00000240000096E-05	30	15	8700010	5000000	0	20	666667
3	1	6,00000240000096E-05	30	15	8700010	5000000	0	12	666668
4	1	6,00000240000096E-05	30	15	8700010	5000000	0	24	666667
0	1	6,00000240000096E-05	30	15	8700010	5000000	0	94	666667
1	1	6,00000240000096E-05	30	15	8700010	5000000	0	88	666666
2	1	6,00000240000096E-05	30	15	8700010	5000000	0	10	666666
3	1	6,00000240000096E-05	30	15	8700010	5000000	0	66	666668
4	1	6,00000240000096E-05	30	15	8700010	5000000	0	22	666667
0	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	40	666667
1	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	12	666668
2	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	52	666667
3	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	8	666667
4	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	14	666667
0	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	10	666666
1	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	70	666666
2	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	12	666668
3	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	6	666667
4	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	66	666666
0	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	20	666666
1	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	38	666667
2	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	34	666667
3	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	14	666667
4	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	16	666668
0	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	22	666667
1	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	106	666666
2	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	16	666668
3	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	44	666667
4	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	56	666667
0	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	72	666666
1	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	68	666667
2	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	38	666667
3	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	12	666666
4	1	6,00000240000096E-05	30	15	8700012,5	5000000	0	10	666667
0	1	6,00000240000096E-05	30	15	8700015	5000000	0	44	666667
1	1	6,00000240000096E-05	30	15	8700015	5000000	0	34	666667
2	1	6,00000240000096E-05	30	15	8700015	5000000	0	14	666667
3	1	6,00000240000096E-05	30	15	8700015	5000000	0	14	666666
4	1	6,00000240000096E-05	30	15	8700015	5000000	0	36	666668
0	1	6,00000240000096E-05	30	15	8700015	5000000	0	32	666668
1	1	6,00000240000096E-05	30	15	8700015	5000000	0	20	666666
2	1	6,00000240000096E-05	30	15	8700015	5000000	0	12	666667
3	1	6,00000240000096E-05	30	15	8700015	5000000	0	62	666667
4	1	6,00000240000096E-05	30	15	8700015	5000000	0	2	666666
0	1	6,00000240000096E-05	30	15	8700015	5000000	0	148	666668
1	1	6,00000240000096E-05	30	15	8700015	5000000	0	40	666667
2	1	6,00000240000096E-05	30	15	8700015	5000000	0	20	666667
3	1	6,00000240000096E-05	30	15	8700015	5000000	0	26	666667
4	1	6,00000240000096E-05	30	15	8700015	5000000	0	76	666667
0	1	6,00000240000096E-05	30	15	8700015	5000000	0	20	666667
1	1	6,00000240000096E-05	30	15	8700015	5000000	0	48	666667
2	1	6,00000240000096E-05	30	15	8700015	5000000	0	44	666667
3	1	6,00000240000096E-05	30	15	8700015	5000000	0	66	666667
4	1	6,00000240000096E-05	30	15	8700015	5000000	0	70	666668
0	1	6,00000240000096E-05	30	15	8700015	5000000	0	8	666667
1	1	6,00000240000096E-05	30	15	8700015	5000000	0	26	666668
2	1	6,00000240000096E-05	30	15	8700015	5000000	0	38	666666
3	1	6,00000240000096E-05	30	15	8700015	5000000	0	26	666668
4	1	6,00000240000096E-05	30	15	8700015	5000000	0	46	666667
0	1	6,00000240000096E-05	30	15	8700015	5000000	0	92	666667
1	1	6,00000240000096E-05	30	15	8700015	5000000	0	54	666668
2	1	6,00000240000096E-05	30	15	8700015	5000000	0	12	666667
3	1	6,00000240000096E-05	30	15	8700015	5000000	0	38	666668
4	1	6,00000240000096E-05	30	15	8700015	5000000	0	54	666667
0	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	10	666667
1	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	50	666666
2	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	16	666667
3	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	20	666668
4	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	58	666667
0	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	84	666668
1	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	22	666666
2	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	24	666666
3	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	58	666666
4	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	16	666668
0	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	126	666667
1	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	16	666667
2	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	2	666668
3	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	122	666666
4	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	54	666667
0	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	34	666667
1	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	88	666666
2	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	20	666667
3	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	74	666667
4	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	64	666667
0	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	40	666668
1	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	4	666668
2	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	18	666667
3	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	90	666667
4	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	16	666666
0	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	24	666666
1	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	22	666667
2	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	10	666667
3	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	34	666667
4	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	14	666666
0	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	66	666666
1	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	22	666667
2	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	14	666668
3	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	62	666667
4	1	6,00000240000096E-05	30	15	8700017,5	5000000	0	22	666666
0	1	6,00000240000096E-05	30	15	8700020	5000000	0	14	666668
1	1	6,00000240000096E-05	30	15	8700020	5000000	0	4	666667
2	1	6,00000240000096E-05	30	15	8700020	5000000	0	18	666667
3	1	6,00000240000096E-05	30	15	8700020	5000000	0	102	666667
4	1	6,00000240000096E-05	30	15	8700020	5000000	0	34	666666
0	1	6,00000240000096E-05	30	15	8700020	5000000	0	18	666668
1	1	6,00000240000096E-05	30	15	8700020	5000000	0	62	666667
2	1	6,00000240000096E-05	30	15	8700020	5000000	0	36	666667
3	1	6,00000240000096E-05	30	15	8700020	5000000	0	4	666667
4	1	6,00000240000096E-05	30	15	8700020	5000000	0	20	666668
0	1	6,00000240000096E-05	30	15	8700020	5000000	0	84	666667
1	1	6,00000240000096E-05	30	15	8700020	5000000	0	18	666666
2	1	6,00000240000096E-05	30	15	8700020	5000000	0	26	666667
3	1	6,00000240000096E-05	30	15	8700020	5000000	0	60	666668
4	1	6,00000240000096E-05	30	15	8700020	5000000	0	10	666667
0	1	6,00000240000096E-05	30	15	8700020	5000000	0	70	666666
1	1	6,00000240000096E-05	30	15	8700020	5000000	0	36	666667
2	1	6,00000240000096E-05	30	15	8700020	5000000	0	44	666667
3	1	6,00000240000096E-05	30	15	8700020	5000000	0	14	666668
4	1	6,00000240000096E-05	30	15	8700020	5000000	0	76	666667
0	1	6,00000240000096E-05	30	15	8700020	5000000	0	18	666667
1	1	6,00000240000096E-05	30	15	8700020	5000000	0	34	666667
2	1	6,00000240000096E-05	30	15	8700020	5000000	0	54	666667
3	1	6,00000240000096E-05	30	15	8700020	5000000	0	52	666667
4	1	6,00000240000096E-05	30	15	8700020	5000000	0	40	666668
0	1	6,00000240000096E-05	30	15	8700020	5000000	0	16	666666
1	1	6,00000240000096E-05	30	15	8700020	5000000	0	4	666666
2	1	6,00000240000096E-05	30	15	8700020	5000000	0	46	666666
3	1	6,00000240000096E-05	30	15	8700020	5000000	0	42	666668
4	1	6,00000240000096E-05	30	15	8700020	5000000	0	4	666667
0	1	6,00000240000096E-05	30	15	8700020	5000000	0	28	666667
1	1	6,00000240000096E-05	30	15	8700020	5000000	0	20	666667
2	1	6,00000240000096E-05	30	15	8700020	5000000	0	18	666667
3	1	6,00000240000096E-05	30	15	8700020	5000000	0	26	666666
4	1	6,00000240000096E-05	30	15	8700020	5000000	0	48	666668
0	1	6,00000240000096E-05	30	15	8700020	5000000	0	24	666666
1	1	6,00000240000096E-05	30	15	8700020	5000000	0	72	666668
2	1	6,00000240000096E-05	30	15	8700020	5000000	0	12	666666
3	1	6,00000240000096E-05	30	15	8700020	5000000	0	26	666667
4	1	6,00000240000096E-05	30	15	8700020	5000000	0	24	666666
0	1	6,00000240000096E-05	30	15	8700020	5000000	0	16	666667
1	1	6,00000240000096E-05	30	15	8700020	5000000	0	18	666668
2	1	6,00000240000096E-05	30	15	8700020	5000000	0	62	666666
3	1	6,00000240000096E-05	30	15	8700020	5000000	0	22	666667
4	1	6,00000240000096E-05	30	15	8700020	5000000	0	32	666668
0	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	58	666667
1	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	38	666668
2	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	8	666668
3	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	66	666667
4	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	46	666667
0	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	0	666668
1	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	78	666668
2	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	40	666668
3	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	40	666668
4	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	20	666668
0	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	14	666668
1	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	70	666666
2	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	34	666667
3	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	12	666667
4	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	28	666666
0	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	26	666667
1	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	10	666667
2	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	110	666668
3	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	70	666666
4	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	36	666666
0	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	26	666667
1	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	56	666668
2	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	26	666667
3	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	22	666667
4	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	24	666667
0	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	10	666668
1	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	20	666667
2	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	10	666667
3	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	8	666667
4	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	60	666668
0	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	32	666667
1	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	70	666668
2	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	62	666666
3	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	54	666666
4	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	44	666666
0	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	48	666667
1	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	30	666668
2	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	20	666668
3	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	42	666667
4	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	16	666667
0	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	40	666666
1	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	50	666667
2	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	12	666667
3	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	38	666666
4	1	6,00000240000096E-05	30	15	8700022,5	5000000	0	22	666668
0	1	6,00000240000096E-05	30	15	8700025	5000000	0	132	666667
1	1	6,00000240000096E-05	30	15	8700025	5000000	0	62	666668
2	1	6,00000240000096E-05	30	15	8700025	5000000	0	50	666666
3	1	6,00000240000096E-05	30	15	8700025	5000000	0	12	666667
4	1	6,00000240000096E-05	30	15	8700025	5000000	0	68	666667
0	1	6,00000240000096E-05	30	15	8700025	5000000	0	34	666667
1	1	6,00000240000096E-05	30	15	8700025	5000000	0	44	666666
2	1	6,00000240000096E-05	30	15	8700025	5000000	0	18	666666
3	1	6,00000240000096E-05	30	15	8700025	5000000	0	22	666667
4	1	6,00000240000096E-05	30	15	8700025	5000000	0	40	666668
0	1	6,00000240000096E-05	30	15	8700025	5000000	0	28	666667
1	1	6,00000240000096E-05	30	15	8700025	5000000	0	8	666666
2	1	6,00000240000096E-05	30	15	8700025	5000000	0	42	666668
3	1	6,00000240000096E-05	30	15	8700025	5000000	0	16	666667
4	1	6,00000240000096E-05	30	15	8700025	5000000	0	22	666667
0	1	6,00000240000096E-05	30	15	8700025	5000000	0	46	666668
1	1	6,00000240000096E-05	30	15	8700025	5000000	0	50	666667
2	1	6,00000240000096E-05	30	15	8700025	5000000	0	14	666668
3	1	6,00000240000096E-05	30	15	8700025	5000000	0	10	666667
4	1	6,00000240000096E-05	30	15	8700025	5000000	0	36	666666
0	1	6,00000240000096E-05	30	15	8700025	5000000	0	60	666668
1	1	6,00000240000096E-05	30	15	8700025	5000000	0	12	666668
2	1	6,00000240000096E-05	30	15	8700025	5000000	0	22	666667
3	1	6,00000240000096E-05	30	15	8700025	5000000	0	10	666666
4	1	6,00000240000096E-05	30	15	8700025	5000000	0	54	666667
0	1	6,00000240000096E-05	30	15	8700025	5000000	0	16	666668
1	1	6,00000240000096E-05	30	15	8700025	5000000	0	10	666667
2	1	6,00000240000096E-05	30	15	8700025	5000000	0	4	666666
3	1	6,00000240000096E-05	30	15	8700025	5000000	0	54	666668
4	1	6,00000240000096E-05	30	15	8700025	5000000	0	30	666668
0	1	6,00000240000096E-05	30	15	8700025	5000000	0	108	666668
1	1	6,00000240000096E-05	30	15	8700025	5000000	0	16	666667
2	1	6,00000240000096E-05	30	15	8700025	5000000	0	42	666667
3	1	6,00000240000096E-05	30	15	8700025	5000000	0	30	666668
4	1	6,00000240000096E-05	30	15	8700025	5000000	0	20	666666
0	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	6	666667
1	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	10	666668
2	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	6	666667
3	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	46	666666
4	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	24	666666
0	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	10	666666
1	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	14	666666
2	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	44	666668
3	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	18	666668
4	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	52	666667
0	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	104	666667
1	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	84	666668
2	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	28	666667
3	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	56	666666
4	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	56	666666
0	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	44	666667
1	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	22	666668
2	1	6,00000240000096E-05	30	15	8700027,5	5000000	0	52	666667
